CaseMasterID,hour,severity,facts_length,latitude,longitude
1,0,1,326,13.01025,77.55378
2,7,1,338,12.92658,77.59546
3,16,3,370,15.89921,74.41874
4,10,1,328,12.95239,77.57204
5,8,3,393,15.9024,74.51666
6,1,5,369,12.92885,77.53076
7,12,4,326,12.93986,74.90369
8,21,3,377,15.44302,75.1464
9,8,5,381,12.94207,77.55744
10,7,4,355,15.35812,75.08638
11,1,4,366,12.29732,76.57395
12,15,5,353,15.92049,74.52655
13,23,1,319,12.83696,74.82531
14,6,2,373,15.80153,74.47753
15,22,3,406,13.0322,77.64767
16,2,5,358,15.29577,75.1657
17,19,3,374,15.924,74.56633
18,9,1,330,15.32436,75.05424
19,22,4,359,12.90238,77.51963
20,23,5,347,15.34983,75.05909
21,21,4,359,12.99615,77.61799
22,1,2,355,12.28758,76.6269
23,4,5,344,15.77206,74.43262
24,1,4,372,12.95224,77.67225
25,21,4,318,15.85645,74.53738
26,22,5,377,12.92133,77.60981
27,8,1,319,15.8688,74.48478
28,22,4,347,15.39217,75.092
29,0,1,350,12.93068,74.85912
30,23,3,380,15.91878,74.43427
31,23,4,377,15.88452,74.45028
32,0,5,348,12.81093,74.95677
33,3,2,361,12.22156,76.61847
34,22,4,334,12.25572,76.57585
35,14,4,357,13.00945,77.56775
36,18,5,376,12.96691,77.54653
37,18,3,377,15.32928,75.05511
38,20,3,404,12.92017,77.66861
39,19,2,337,15.44218,75.0625
40,19,4,330,15.88481,74.53641
41,22,4,335,13.03561,77.59574
42,11,3,391,12.32219,76.62006
43,3,4,354,12.85878,74.8928
44,22,2,353,12.89622,74.89908
45,1,4,377,13.04903,77.6124
46,21,5,357,13.02927,77.65627
47,14,5,372,12.23522,76.58073
48,0,5,375,15.88478,74.49846
49,3,5,356,12.82956,74.90203
50,23,4,373,12.83347,74.85115
51,20,2,384,12.86455,74.80996
52,6,3,367,12.91056,74.93655
53,15,3,375,12.8677,74.86222
54,14,2,388,15.77401,74.48074
55,4,3,373,12.95226,77.54847
56,21,3,393,12.8947,77.60091
57,2,5,373,12.21906,76.58378
58,4,5,358,12.84902,74.89694
59,16,3,390,15.43534,75.07573
60,19,5,362,15.77627,74.50294
61,12,5,373,15.36313,75.11336
62,2,4,328,15.81291,74.54701
63,22,5,376,12.36534,76.60403
64,20,1,355,12.86909,74.852
65,7,4,347,15.7834,74.53291
66,19,3,379,12.32649,76.60839
67,23,3,402,15.82599,74.4903
68,0,5,366,15.88013,74.44835
69,17,3,402,12.2522,76.58811
70,8,4,339,12.35475,76.63794
71,21,3,401,13.04217,77.59104
72,1,5,344,12.30585,76.60801
73,2,5,358,12.29941,76.63148
74,20,4,337,15.78558,74.53974
75,2,4,369,12.89203,77.58668
76,19,3,387,12.34185,76.65941
77,8,1,324,12.22534,76.68622
78,20,2,355,12.8764,74.87004
79,15,4,327,12.34955,76.65143
80,23,4,334,15.84046,74.46221
81,22,3,386,12.89722,74.93724
82,1,1,330,15.84247,74.46802
83,11,3,388,15.83582,74.44771
84,3,2,353,12.81096,74.84608
85,1,1,337,15.85806,74.43261
86,7,5,355,15.3619,75.11956
87,4,5,371,12.22697,76.68303
88,3,5,369,12.88391,74.95982
89,16,3,384,15.84256,74.46918
90,13,4,330,15.43085,75.105
91,5,5,388,12.80606,74.93521
92,11,1,325,12.29092,76.71447
93,6,3,413,15.92236,74.51799
94,0,3,394,13.04813,77.63626
95,3,5,377,12.79898,74.85735
96,11,4,354,12.24381,76.65692
97,4,5,359,12.96604,77.56062
98,20,4,338,15.32472,75.17925
99,14,2,331,12.83734,74.91188
100,10,5,387,15.42936,75.08979
101,2,4,343,12.91089,74.9228
102,1,1,328,15.37743,75.16118
103,1,3,381,15.90258,74.45882
104,7,5,353,12.32401,76.6673
105,23,1,321,15.84247,74.52535
106,11,1,334,15.38383,75.19491
107,1,4,356,12.89886,77.52055
108,13,3,395,15.86367,74.53396
109,0,4,389,12.86094,74.95209
110,19,1,340,15.39074,75.14667
111,4,4,340,15.86352,74.54779
112,18,1,315,12.32157,76.56352
113,2,4,356,12.28315,76.57758
114,5,2,374,12.22274,76.68472
115,22,3,387,15.39448,75.12244
116,3,3,397,12.31569,76.65306
117,7,5,382,13.00388,77.65105
118,3,5,371,12.86256,74.86656
119,0,1,347,15.2993,75.05766
120,23,3,368,15.8769,74.48343
121,0,2,330,15.80374,74.52278
122,11,5,385,15.37445,75.16679
123,4,1,336,12.81887,74.91243
124,1,1,314,13.01098,77.54902
125,21,1,320,15.91103,74.44259
126,18,3,383,15.32841,75.16479
127,18,1,322,12.82528,74.95751
128,20,1,344,12.97118,77.5835
129,8,3,403,12.8946,77.66199
130,1,1,330,15.43929,75.0715
131,4,3,376,15.85353,74.48102
132,18,2,368,12.97319,77.65955
133,22,4,346,12.81776,74.82446
134,9,3,401,12.96235,77.56305
135,13,1,323,15.2938,75.17707
136,13,5,344,15.88793,74.42426
137,17,3,394,12.90816,77.65846
138,19,3,422,15.36855,75.14157
139,4,1,332,15.89598,74.52127
140,3,5,381,15.79376,74.43074
141,7,4,362,15.37991,75.19408
142,3,3,389,12.94102,77.66679
143,20,2,336,13.01494,77.64822
144,4,4,349,12.24474,76.67026
145,22,5,388,12.90977,74.87183
146,4,3,376,15.84357,74.46278
147,0,1,308,12.89259,74.93986
148,23,3,413,12.93485,74.82358
149,23,1,318,15.34813,75.10383
150,2,1,330,12.2617,76.69216
151,5,5,391,12.23972,76.70984
152,1,1,353,12.92975,77.61683
153,18,2,347,15.80841,74.44067
154,6,2,378,13.04754,77.52543
155,18,3,398,15.32528,75.0466
156,18,1,305,12.27217,76.61357
157,19,4,332,13.01579,77.58783
158,20,3,390,15.92796,74.50458
159,0,3,371,12.80992,74.85888
160,23,5,360,12.87308,74.92818
161,0,1,307,12.80281,74.90575
162,22,2,357,12.9497,74.84393
163,22,4,322,15.89471,74.42327
164,22,4,344,12.28779,76.61875
165,3,4,370,12.94368,74.80415
166,1,3,398,15.88074,74.57748
167,1,4,333,12.84559,74.81039
168,22,2,374,12.82588,74.95762
169,21,4,369,15.86761,74.43149
170,7,3,376,12.96613,77.59738
171,4,5,367,12.91147,77.53908
172,2,3,398,12.92301,77.66762
173,11,2,358,12.36646,76.58407
174,8,4,337,13.01496,77.55694
175,15,3,397,15.87241,74.46604
176,3,3,367,15.36218,75.07664
177,1,2,355,12.87986,74.85106
178,3,5,411,15.38316,75.08372
179,3,3,383,12.37516,76.63409
180,10,2,365,12.27226,76.56749
